Key,Value
nt_remember,741
sushi_bar,740
brunch,736
minute_wait,732
NUM_mins,722
restaurant_week,719
pork_shoulder,711
dining_room,710
service,708
really_nice,702
dish,700
stars,699
beer_selection,698
really_liked,696
breakfast_klub,692
great_atmosphere,687
delicious,686
long_line,681
nt_care,680
fried_alligator,679
deep,678
eggs_benedict,677
south_end,668
try,667
definitely_recommend,664
friend,655
only_complaint,650
good_service,647
huge_fan,647
friends,647
highly_recommended,647
NUM_different,647
patatas_bravas,645
times,640
big_fan,639
review,632
bbq,631
beef_sandwich,631
great_experience,628
short_rib,626
perfectly_cooked,626
years_ago,621
absolutely_delicious,612
bacon_wrapped,611
reviews,611
little,607
dipping_sauce,606
cheese_fries,605
wait,605
customer_service,598
looking_forward,595
several_times,594
nt_order,593
good_thing,593
bar_area,590
nt_make,587
only,584
wrapped_dates,581
pan_pizza,575
sashimi_lunch,574
only_NUM,573
very_attentive,569
chicken,567
delicious_food,565
tapas,563
wait_time,562
cole_slaw,562
breakfast,560
garlic_bread,559
ve_eaten,558
garlic_mayo,555
damn_good,554
super_friendly,551
red_beans,549
awesome,549
hour_wait,542
nt_feel,538
miso_soup,536
top_notch,533
because,533
stuffed_dates,529
great_time,526
really_great,522
every_single,521
very_fresh,520
many_times,520
NUM_hour,518
something_else,514
quite_good,514
live_music,513
blue_cheese,512
experience,509
chicago_dog,507
nt_bad,506
olive_oil,501
NUM_NUM,496
pomme_frites,495
ordered_NUM,494
nt_taste,489
many_people,485
large_group,484
really_wanted,483
everyone_else,480
peanut_butter,479
chicago_deep,478
NUM_bucks,476
bloody_mary,476
nt_believe,475
love_love,473
eat,472
ll_definitely,472
very_reasonable,471
belgian_fries,470
amazing_food,470
baked_beans,468
cooked_perfectly,467
totally_worth,467
nt_expect,464
back,464
buddha_bowl,463
anything_else,463
mashed_potatoes,460
make_reservations,459
good_things,459
beef_brisket,458
chorizo_stuffed,457
sweet_mango,456
friendly_staff,452
very_small,450
city,449
baby_back,448
little_tokyo,447
very_very,445
years,444
very_busy,440
pretty,440
french,440
pleasantly_surprised,440
try_something,439
ve_only,439
always,435
long,433
minutes_before,432
street_parking,431
onion_rings,430
fast_food,429
every_bite,428
ve_heard,426
places,426
bread_pudding,426
bone_marrow,425
cake_shake,423
parking_lot,423
stars_because,421
jam_cafe,417
good_time,413
made_reservations,412
spot,412
since,409
italian_food,405
high_quality,404
los_angeles,404
favorite_restaurant,399
noise_level,397
before,397
menu_items,395
louis_ribs,395
another_NUM,394
grilled_corn,390
excellent,390
red_wine,389
people,386
comfort_food,385
taste_buds,381
bar,380
day,380
deep_fried,380
truffle_oil,379
wait_NUM,378
loved,378
NUM_reviews,378
friendly_service,378
hot,377
nt_try,377
different_sauces,377
sashimi_deluxe,375
very_loud,374
nt_love,374
river_north,374
short_ribs,374
foie_gras,372
italian,372
pork_sandwich,372
restaurants,370
smoque,368
saturday,368
very_flavorful,368
john_besh,368
nt_find,367
tasting_menu,366
